cpt_code,description,facility_rate
15130,Drm agrft t/a/l 1st 100 sqcm,553.1924
15131,Drm agrft t/a/l ea addl,75.526875
15135,Drm agrft f/s/n/h/f/g/m 1st,677.39215
15136,Drm agrft f/s/n/h/f/g/m ea,75.526875
15150,Tis cltr skn agrft t/a/l 1st,620.3274
15151,Tis cltr skn agrft t/a/l add,98.0171
15152,Tis cltr skn agrft t/a/l ea,123.19272500000001
15155,Tis cltr agrft f/s/n/h/f/g 1,660.2727250000002
15156,Tis clt agrft f/s/n/h/f/g ad,135.61270000000002
15157,Tis clt agrft f/s/n/h/f/g ea,148.704025
15200,Fth/gft fr trnk 20 sq cm/<,608.2431
15201,Fth/gft fr trnk each addl,65.12095000000001
15220,Fth/gft fr s/a/l 20 sq cm/<,540.4367500000001
15221,Fth/gft fr s/a/l each addl,58.071775
15240,Fth/gft f/c/c/m/n/ax/g/h/f20,701.56075
15241,Fth/gft f/c/c/m/n/a/g/h/f ea,89.96090000000001
15260,Fth/gft fr n/e/e/l 20 sqcm/<,731.1001500000001
15261,Fth/gft fr n/e/e/l each addl,113.12247500000001
15271,Skin sub graft trnk/arm/leg,75.526875
15272,Skin sub graft t/a/l add-on,14.769700000000002
15273,Skin sub grft t/arm/lg child,172.53695
15274,Skn sub grft t/a/l child add,39.273975
15275,Skin sub graft face/nk/hf/g,84.5901
15276,Skin sub graft f/n/hf/g addl,22.154550000000004
15277,Skn sub grft f/n/hf/g child,198.38392500000003
15278,Skn sub grft f/n/hf/g ch add,49.00855
15570,Skin pedicle flap trunk,676.0494500000001
15572,Skin pedicle flap arms/legs,673.36405
15574,Pedcle fh/ch/ch/m/n/ax/g/h/f,642.817625
15576,Pedicle e/n/e/l/ntroral,566.2837250000001
15600,Delay flap trunk,213.82497500000002
15610,Delay flap arms/legs,236.650875
15620,Delay flap f/c/c/n/ax/g/h/f,306.1356
15630,Delay flap eye/nos/ear/lip,312.8491
15650,Transfer skin pedicle flap,384.6835500000001
15730,Mdfc flap w/prsrv vasc pedcl,786.1508500000001
15731,Forehead flap w/vasc pedicle,881.8182250000001
15733,Musc myoq/fscq flp h&n pedcl,912.7003250000001
15734,Muscle-skin graft trunk,1393.7226000000003
15736,Muscle-skin graft arm,1116.7907250000003
